student_number,sex,a1,a2,a3,a4,a5,a6,a7,a8,participation,total
1,f,50,100,100,152,150,50,100,93,11,98.91
2,m,50,100,100,149,150,50,100,93,11,98.9
3,m,45,98,100,150,150,50,96,95,11,98.04
4,f,49,98,96,145,144,50,100,97,11,97.49
5,f,50,100,99,147,146,50,100,95,10,97.43
6,m,50,90,98,149,143,50,100,93,11,97.43
7,f,50,97,100,145,145,48,97,94,11,97.34
8,f,50,93,91,148,144,48,98,94,11,96.34
9,f,50,94,100,140,147,50,100,95,10,96.33
10,f,50,97,94,147,147,50,100,93,10,96.31
11,f,49,97,96,130,150,50,98,95,11,96.14
12,f,50,97,99,130,147,48,98,94,11,96.04
13,m,50,97,96,146,135,50,100,98,9,95.58
14,m,50,100,96,150,147,50,100,85,10,95.53
15,f,50,90,96,145,150,30,100,91,11,94.81
16,m,50,88,100,115,147,50,100,98,11,94.71
17,m,50,95,96,156,119,48,99,95,9,94.2
18,f,48,99,91,130,138,50,92,97,11,94.09
19,m,40,94,100,145,135,48,100,94,9,93.52
20,m,50,97,100,145,108,50,100,98,9,92.9
21,m,50,91,89,130,129,48,100,95,11,92.7
22,f,50,100,99,143,135,50,100,77,9,92.02
23,f,50,96,96,135,114,48,100,95,10,91.99
24,f,50,98,95,94,150,50,98,97,10,91.88
25,f,48,98,98,139,114,50,90,93,10,91.79
26,m,50,90,99,146,138,50,96,85,8,91.46
27,f,50,99,88,121,145,30,98,91,10,90.91
28,f,49,98,86,144,136,50,98,77,10,90.19
29,m,50,100,97,109,118,50,95,93,9,89.08
30,m,45,96,100,160,147,50,100,77,2,89.05
31,m,50,93,90,104,123,48,98,95,9,87.78
32,m,50,77,95,145,138,50,95,85,6,87.6
33,m,50,93,100,146,111,30,91,91,7,87.32
34,f,50,68,72,115,116,50,100,93,10,85.19
35,f,48,78,72,112,94,50,95,98,11,84.61
36,f,45,96,84,106,141,30,84,91,8,84.59
37,m,45,95,87,119,130,50,98,77,6,84.28
38,f,50,64,85,127,126,50,57,93,9,81.37
