"GEOID","GEO.display.label","pop","pop.white","pop.not.white","pct.white","pct.not.white"
"24510010100","Census Tract 101, Baltimore city, Maryland",1378,1276,102,0.925979680696662,0.0740203193033382
"24510010200","Census Tract 102, Baltimore city, Maryland",1262,1082,180,0.857369255150555,0.142630744849445
"24510010300","Census Tract 103, Baltimore city, Maryland",965,847,118,0.877720207253886,0.122279792746114
"24510010400","Census Tract 104, Baltimore city, Maryland",1196,1146,50,0.95819397993311,0.0418060200668896
"24510010500","Census Tract 105, Baltimore city, Maryland",951,759,192,0.798107255520505,0.201892744479495
"24510020100","Census Tract 201, Baltimore city, Maryland",871,697,174,0.800229621125144,0.199770378874856
"24510020200","Census Tract 202, Baltimore city, Maryland",791,617,174,0.780025284450063,0.219974715549937
"24510020300","Census Tract 203, Baltimore city, Maryland",1646,1427,219,0.866950182260024,0.133049817739976
"24510030100","Census Tract 301, Baltimore city, Maryland",879,269,610,0.306029579067122,0.693970420932878
"24510030200","Census Tract 302, Baltimore city, Maryland",887,533,354,0.600901916572717,0.399098083427283
"24510040100","Census Tract 401, Baltimore city, Maryland",2046,1363,683,0.666177908113392,0.333822091886608
"24510040200","Census Tract 402, Baltimore city, Maryland",574,262,312,0.456445993031359,0.543554006968641
"24510060100","Census Tract 601, Baltimore city, Maryland",942,473,469,0.502123142250531,0.497876857749469
"24510060200","Census Tract 602, Baltimore city, Maryland",1045,562,483,0.537799043062201,0.462200956937799
"24510060300","Census Tract 603, Baltimore city, Maryland",679,276,403,0.406480117820324,0.593519882179676
"24510060400","Census Tract 604, Baltimore city, Maryland",621,116,505,0.186795491143317,0.813204508856683
"24510070100","Census Tract 701, Baltimore city, Maryland",779,23,756,0.0295250320924262,0.970474967907574
"24510070200","Census Tract 702, Baltimore city, Maryland",1012,29,983,0.0286561264822134,0.971343873517787
"24510070300","Census Tract 703, Baltimore city, Maryland",404,22,382,0.0544554455445545,0.945544554455445
"24510080101","Census Tract 801.01, Baltimore city, Maryland",1240,404,836,0.325806451612903,0.674193548387097
"24510080102","Census Tract 801.02, Baltimore city, Maryland",633,32,601,0.0505529225908373,0.949447077409163
"24510080200","Census Tract 802, Baltimore city, Maryland",526,29,497,0.0551330798479087,0.944866920152091
"24510080302","Census Tract 803.02, Baltimore city, Maryland",1262,11,1251,0.00871632329635499,0.991283676703645
"24510080500","Census Tract 805, Baltimore city, Maryland",589,10,579,0.0169779286926995,0.9830220713073
"24510080700","Census Tract 807, Baltimore city, Maryland",345,9,336,0.0260869565217391,0.973913043478261
"24510080800","Census Tract 808, Baltimore city, Maryland",398,47,351,0.118090452261307,0.881909547738693
"24510090100","Census Tract 901, Baltimore city, Maryland",1698,218,1480,0.128386336866902,0.871613663133098
"24510090200","Census Tract 902, Baltimore city, Maryland",1264,305,959,0.24129746835443,0.75870253164557
"24510090300","Census Tract 903, Baltimore city, Maryland",1712,430,1282,0.251168224299065,0.748831775700935
